form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,overabundance_tag,analysis_tag,source,page,language_id
komkhoirentak200,hmu,2.sg.1.sg.nfut.neg,ei-hmu-mak-che,ei-Σ-mak-che,ei+Σ+mak+che,ei Σ m a k tʃ e,ei + Σ + m a k + tʃ e,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak201,hmu,2.sg.1.sg.nfut.neg,ani-hmu-mak-che,ani-Σ-mak-che,a+ni+Σ+mak+che,a n i Σ m a k tʃ e,a + n i + Σ + m a k + tʃ e,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak202,hmu,2.sg.1.pl.excl.nfut.neg,ei-hmu-mak-che,ei-Σ-mak-che,ei+Σ+mak+che,ei Σ m a k tʃ e,ei + Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak203,hmu,2.sg.1.pl.excl.nfut.neg,a-hmu-mak-che,a-Σ-mak-che,a+Σ+mak+che,a Σ m a k tʃ e,a + Σ + m a k + tʃ e,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak204,hmu,2.sg.1.pl.excl.nfut.neg,ani-hmu-mak-che,ani-Σ-mak-che,a+ni+Σ+mak+che,a n i Σ m a k tʃ e,a + n i + Σ + m a k + tʃ e,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak205,hmu,2.pl.1.sg.nfut.neg,a-hmu-mak-chui,a-Σ-mak-chui,a+Σ+mak+chui,a Σ m a k tʃ ui,a + Σ + m a k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak206,hmu,2.pl.1.sg.nfut.neg,ei-hmu-mak-chui,ei-Σ-mak-chui,ei+Σ+mak+chui,ei Σ m a k tʃ ui,ei + Σ + m a k + tʃ ui,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak207,hmu,2.pl.1.sg.nfut.neg,ani-hmu-mak-chui,ani-Σ-mak-chui,a+ni+Σ+mak+chui,a n i Σ m a k tʃ ui,a + n i + Σ + m a k + tʃ ui,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak208,hmu,2.pl.1.pl.excl.nfut.neg,ei-hmu-mak-chui,ei-Σ-mak-chui,ei+Σ+mak+chui,ei Σ m a k tʃ ui,ei + Σ + m a k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak209,hmu,2.pl.1.pl.excl.nfut.neg,a-hmu-mak-chui,a-Σ-mak-chui,a+Σ+mak+chui,a Σ m a k tʃ ui,a + Σ + m a k + tʃ ui,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
